티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A453850,ACE 미국30년국채액티브(H),해외채권_종합,0.1200,120000000,0
A360750,TIGER 미국S&P500,해외주식_지수,0.1200,120000000,0
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,0.1100,110000000,0
A381170,TIGER 미국테크TOP10 INDXX,해외주식_섹터,0.1100,110000000,0
A273130,KODEX 종합채권(AA-이상)액티브,국내채권_회사채,0.0800,80000000,0
A411060,ACE KRX금현물,FX 및 원자재,0.0800,80000000,0
A069500,KODEX 200,국내주식_지수,0.0800,80000000,0
A292560,TIGER 일본엔선물,FX 및 원자재,0.0700,70000000,0
A458730,TIGER 미국배당다우존스,해외주식_섹터,0.0600,60000000,0
A261220,KODEX WTI원유선물(H),FX 및 원자재,0.0500,50000000,0
A241180,TIGER 일본니케이225,해외주식_지수,0.0400,40000000,0
A371160,TIGER 차이나항셍테크,해외주식_지수,0.0300,30000000,0
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,0.0300,30000000,0
A182480,TIGER 미국MSCI리츠(합성 H),해외주식_섹터,0.0200,20000000,0

# WARNING: 14 ticker(s) have qty=0 (current_prices fetch failed or price=0)
# Affected: A453850, A360750, A459580, A381170, A273130, A411060, A069500, A292560, A458730, A261220 ... and 4 more
# Manual fix: re-fetch pykrx snapshot for as_of_date, or override prices in artifacts/{date}/portfolio.json
