티커,ETF명,자산군,현재수량,목표수량,매매구분,거래수량,거래금액(KRW)
A459580,KODEX CD금리액티브(합성),금리연계형/초단기채권,141,192,BUY,51,54777825
A114260,KODEX 국고채3년,국내채권_종합,1433,1946,BUY,513,31385340
A305080,TIGER 미국채10년선물,해외채권_종합,4944,6712,BUY,1768,24274640
A381170,TIGER 미국테크TOP10 INDXX,해외주식_섹터,3905,3211,SELL,-694,-24071390
A411060,ACE KRX금현물,FX 및 원자재,4135,3400,SELL,-735,-22134525
A360750,TIGER 미국S&P500,해외주식_지수,3952,3249,SELL,-703,-20105800
A261240,KODEX 미국달러선물,FX 및 원자재,5854,4812,SELL,-1042,-16343770
A069500,KODEX 200,국내주식_지수,357,294,SELL,-63,-8739990
A468380,KODEX iShares미국하이일드액티브,해외채권_회사채,1977,2684,BUY,707,8593585
A261220,KODEX WTI원유선물(H),FX 및 원자재,1843,1515,SELL,-328,-8470600
A161510,PLUS 고배당주,국내주식_섹터,1191,979,SELL,-212,-5700680
A371160,TIGER 차이나항셍테크,해외주식_지수,3805,3129,SELL,-676,-5624320
A182480,TIGER 미국MSCI리츠(합성 H),해외주식_섹터,1620,1620,HOLD,0,0
A241180,TIGER 일본니케이225,해외주식_지수,544,544,HOLD,0,0
# CASH_RESIDUAL_KRW: 0
# CASH_WEIGHT: 0.000000
