티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A468370,KODEX iShares미국인플레이션국채액티브,해외채권_종합,0.1742,174168258,15606
A458730,TIGER 미국배당다우존스,해외주식_섹터,0.1650,164998350,14156
A453850,ACE 미국30년국채액티브(H),해외채권_종합,0.1333,133348666,17085
A371460,TIGER 차이나전기차SOLACTIVE,해외주식_섹터,0.0912,91189088,9993
A455890,RISE 머니마켓액티브,금리연계형/초단기채권,0.0705,70529294,1305
A411060,ACE KRX금현물,FX 및 원자재,0.0696,69609303,3337
A273130,KODEX 종합채권(AA-이상)액티브,국내채권_회사채,0.0671,67099329,563
A069500,KODEX 200,국내주식_지수,0.0588,58809411,1763
A360750,TIGER 미국S&P500,해외주식_지수,0.0523,52309476,2725
A466920,SOL 조선TOP3플러스,국내주식_섹터,0.0453,45349546,2160
A133690,TIGER 미국나스닥100,해외주식_지수,0.0249,24909750,209
A144600,KODEX 은선물(H),FX 및 원자재,0.0211,21139788,3702
A229200,KODEX 코스닥150,국내주식_지수,0.0170,17029829,1454
A449450,PLUS K방산,국내주식_섹터,0.0095,9509904,275
