티커,ETF명,자산군,가중치,매수금액(KRW),수량(주)
A0061Z0,RISE 단기특수은행채액티브,국내채권_회사채,0.1650,165000000,3262
A488770,KODEX 머니마켓액티브,금리연계형/초단기채권,0.1409,140870000,1349
A468370,KODEX iShares미국인플레이션국채액티브,해외채권_종합,0.1278,127849999,10689
A273130,KODEX 종합채권(AA-이상)액티브,국내채권_회사채,0.1025,102480000,926
A360750,TIGER 미국S&P500,해외주식_지수,0.0796,79570000,2865
A385540,RISE 종합채권(A-이상)액티브,국내채권_회사채,0.0620,62010000,599
A487240,KODEX AI전력핵심설비,국내주식_섹터,0.0501,50120000,958
A133690,TIGER 미국나스닥100,해외주식_지수,0.0491,49080000,252
A423160,KODEX KOFR금리액티브(합성),금리연계형/초단기채권,0.0398,39760000,358
A455890,RISE 머니마켓액티브,금리연계형/초단기채권,0.0396,39610000,720
A411060,ACE KRX금현물,FX 및 원자재,0.0394,39450000,1293
A456600,TIME 글로벌AI인공지능액티브,해외주식_섹터,0.0369,36910000,593
A144600,KODEX 은선물(H),FX 및 원자재,0.0366,36610000,2827
A278530,KODEX 200TR,국내주식_지수,0.0170,16970000,401
A102110,TIGER 200,국내주식_지수,0.0119,11900000,101
A381180,TIGER 미국필라델피아반도체나스닥,해외주식_지수,0.0018,1810000,39
